word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
MARKERBOARD,M,AA,R,K,ER,B,OW,R,D,,,,,
TANKTOP,T,AE,NG,K,T,AA,P,,,,,,,
COTTONBALL,K,AA,T,AH,N,B,AO,L,,,,,,
TISSUEBOX,T,IH,SH,UW,B,AA,K,S,,,,,,
SNOWPLOW,S,N,OW,P,L,AW,,,,,,,,
FRAME,F,R,EY,M,,,,,,,,,,
STICK,S,T,IH,K,,,,,,,,,,
HORN,HH,AO,R,N,,,,,,,,,,
STADIUM,S,T,EY,D,IY,AH,M,,,,,,,
SANDBOX,S,AE,N,D,B,AA,K,S,,,,,,
PILLBOX,P,IH,L,B,AA,K,S,,,,,,,
CLOWNFISH,K,L,AW,N,F,IH,SH,,,,,,,
BOOKENDS,B,UH,K,EH,N,D,Z,,,,,,,
COINS,K,OY,N,Z,,,,,,,,,,
TRAMPOLINE,T,R,AE,M,P,AH,L,IY,N,,,,,
IRON,AY,ER,N,,,,,,,,,,,
HIGHWAY,HH,AY,W,EY,,,,,,,,,,
DIVINGBOARD,D,AY,V,IH,NG,B,OW,R,D,,,,,
YARN,Y,AA,R,N,,,,,,,,,,
BASKETBALL,B,AE,S,K,AH,T,B,AO,L,,,,,
MOBILE,M,OW,B,AH,L,,,,,,,,,
TRIANGLE,T,R,AY,AE,NG,G,AH,L,,,,,,
LEOTARD,L,IY,AH,T,AA,R,D,,,,,,,
CLARINET,K,L,EH,R,AH,N,EH,T,,,,,,
TENNISBALL,T,EH,N,AH,S,B,AO,L,,,,,,
JANITOR,JH,AE,N,AH,T,ER,,,,,,,,
QUARTER,K,W,AO,R,T,ER,,,,,,,,
SANDAL,S,AE,N,D,AH,L,,,,,,,,
HAIRCLIP,HH,EH,R,K,L,IH,P,,,,,,,
CUPCAKE,K,AH,P,K,EY,K,,,,,,,,
PODIUM,P,OW,D,IY,AH,M,,,,,,,,
TULIP,T,UW,L,IH,P,,,,,,,,,
SLING,S,L,IH,NG,,,,,,,,,,
HORSESHOE,HH,AO,R,S,SH,UW,,,,,,,,
TACO,T,AA,K,OW,,,,,,,,,,
FILTER,F,IH,L,T,ER,,,,,,,,,
PONCHO,P,AA,N,CH,OW,,,,,,,,,
FIREWORKS,F,AY,R,W,ER,K,S,,,,,,,
GURNEY,G,ER,N,IY,,,,,,,,,,
ORNAMENT,AO,R,N,AH,M,AH,N,T,,,,,,
KEG,K,EH,G,,,,,,,,,,,
GOLFCOURSE,G,AA,L,F,K,OW,R,S,,,,,,
OLIVES,AA,L,IH,V,Z,,,,,,,,,
LOTION,L,OW,SH,AH,N,,,,,,,,,
LANTERN,L,AE,N,T,ER,N,,,,,,,,
LOLLIPOP,L,AA,L,IY,P,AA,P,,,,,,,
PROTRACTOR,P,R,OW,T,R,AE,K,T,ER,,,,,
CHALKBOARD,CH,AO,K,B,OW,R,D,,,,,,,
CROCKPOT,K,R,AA,K,P,AA,T,,,,,,,
VOLLEYBALL,V,AA,L,IY,B,AO,L,,,,,,,
RAISINS,R,EY,Z,AH,N,Z,,,,,,,,
BANISTER,B,AE,N,IH,S,T,ER,,,,,,,
SNOWGLOBE,S,N,OW,G,L,OW,B,,,,,,,
DEODORANT,D,IY,OW,D,ER,AH,N,T,,,,,,
HAIRPIN,HH,EH,R,P,IH,N,,,,,,,,
CORAL,K,AO,R,AH,L,,,,,,,,,
CROISSANT,K,W,AA,S,AA,N,T,,,,,,,
OVENMITT,AH,V,EH,N,M,AH,T,,,,,,,
CUTTINGBOARD,K,AH,T,IH,NG,B,OW,R,D,,,,,
CALCULATOR,K,AE,L,K,Y,AH,L,EY,T,ER,,,,
CRANBERRIES,K,R,AE,N,B,EH,R,IY,Z,,,,,
TONGUEDEPRESSOR,T,AH,NG,D,IY,P,R,EH,S,ER,,,,
TROMBONE,T,R,AA,M,B,OW,N,,,,,,,
CHART,CH,AA,R,T,,,,,,,,,,
VISOR,V,AY,Z,ER,,,,,,,,,,
BULL,B,UH,L,,,,,,,,,,,
LICORICE,L,IH,K,ER,IH,SH,,,,,,,,
FIREEXTINGUISHER,F,AY,ER,IH,K,S,T,IH,NG,G,W,IH,SH,ER
ERASER,IH,R,EY,S,ER,,,,,,,,,
BINGOCARD,B,IH,N,G,OW,K,AA,R,D,,,,,
